[01:34:52] === stream sub02_ses01_20260723_180607 ===
[01:34:53] subject=sub02 trials=62 train=31 eval=31
[01:34:56] [sub02] shallow task fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:21] fold0 ep 030 tr=0.1640 va=0.7509 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:21] fold0 ep 031 tr=0.1775 va=0.7422 val_AccPaper=0.6667 val_BalAccMaj=0.6111
[01:35:21] fold0 ep 032 tr=0.1556 va=0.7223 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:21] fold0 ep 033 tr=0.1410 va=0.6946 val_AccPaper=0.8333 val_BalAccMaj=0.7778
[01:35:21] fold0 ep 034 tr=0.1437 va=0.7248 val_AccPaper=0.6667 val_BalAccMaj=0.7222
[01:35:21] fold0 ep 035 tr=0.1397 va=0.6985 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:21] fold0 ep 036 tr=0.1331 va=0.7020 val_AccPaper=0.7500 val_BalAccMaj=0.7778
[01:35:22] fold0 ep 037 tr=0.1383 va=0.6913 val_AccPaper=0.7500 val_BalAccMaj=0.6667
[01:35:22] fold0 ep 038 tr=0.1139 va=0.7148 val_AccPaper=0.6667 val_BalAccMaj=0.7222
[01:35:22] fold0 ep 039 tr=0.1061 va=0.6882 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:22] fold0 ep 040 tr=0.0965 va=0.6989 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:22] fold0 ep 041 tr=0.1032 va=0.7075 val_AccPaper=0.7500 val_BalAccMaj=0.6667
[01:35:22] fold0 ep 042 tr=0.0934 va=0.7088 val_AccPaper=0.8333 val_BalAccMaj=0.7778
[01:35:22] fold0 ep 043 tr=0.0978 va=0.7254 val_AccPaper=0.7500 val_BalAccMaj=0.7222
[01:35:22]   early stop @ ep 43
[01:35:22] [eval_half] Acc_paper=0.5246 BalAcc_maj=0.4639 win_BalAcc=0.4392
[01:35:22] [sub02] shallow three fold1 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:23] fold1 ep 001 tr=1.3733 va=1.3206 val_AccPaper=0.3333 val_BalAccMaj=0.3333
[01:35:23] fold1 ep 002 tr=1.0215 va=1.1339 val_AccPaper=0.5000 val_BalAccMaj=0.4444
[01:35:23] fold1 ep 003 tr=0.8608 va=1.0370 val_AccPaper=0.5833 val_BalAccMaj=0.6111
[01:35:23] fold1 ep 004 tr=0.7516 va=1.0069 val_AccPaper=0.5000 val_BalAccMaj=0.5000
