start scheme21 arm=J1_tok n_times=1000 t0_max=None two_stage=None inwin=True
fold4 ep 002  tr=1.4933  val_AccPaper=0.5044  val_BalAccMaj=0.5130
fold4 ep 003  tr=1.3939  val_AccPaper=0.4944  val_BalAccMaj=0.5007
fold4 ep 004  tr=1.3400  val_AccPaper=0.4981  val_BalAccMaj=0.5052
fold4 ep 005  tr=1.3118  val_AccPaper=0.5030  val_BalAccMaj=0.5122
fold4 ep 006  tr=1.2944  val_AccPaper=0.5041  val_BalAccMaj=0.5133
fold4 ep 007  tr=1.2777  val_AccPaper=0.4941  val_BalAccMaj=0.4985
fold4 ep 008  tr=1.2643  val_AccPaper=0.5022  val_BalAccMaj=0.5070
fold4 ep 009  tr=1.2529  val_AccPaper=0.5026  val_BalAccMaj=0.5115
fold4 ep 010  tr=1.2420  val_AccPaper=0.4985  val_BalAccMaj=0.5048
fold4 ep 011  tr=1.2375  val_AccPaper=0.5041  val_BalAccMaj=0.5070
fold4 ep 012  tr=1.2345  val_AccPaper=0.5011  val_BalAccMaj=0.5074
fold4 ep 013  tr=1.2252  val_AccPaper=0.4974  val_BalAccMaj=0.5041
fold4 ep 014  tr=1.2231  val_AccPaper=0.5081  val_BalAccMaj=0.5141
fold4 ep 015  tr=1.2193  val_AccPaper=0.4989  val_BalAccMaj=0.5033
fold4 ep 016  tr=1.2130  val_AccPaper=0.4885  val_BalAccMaj=0.4944
fold4 ep 017  tr=1.2104  val_AccPaper=0.5033  val_BalAccMaj=0.5081
fold4 ep 018  tr=1.2088  val_AccPaper=0.5093  val_BalAccMaj=0.5152
fold4 ep 019  tr=1.2026  val_AccPaper=0.4781  val_BalAccMaj=0.4848
fold4 ep 020  tr=1.1975  val_AccPaper=0.4896  val_BalAccMaj=0.4956
fold4 ep 021  tr=1.1960  val_AccPaper=0.4981  val_BalAccMaj=0.5026
fold4 ep 022  tr=1.1936  val_AccPaper=0.5100  val_BalAccMaj=0.5167
fold4 ep 023  tr=1.1894  val_AccPaper=0.4919  val_BalAccMaj=0.4959
fold4 ep 024  tr=1.1901  val_AccPaper=0.5067  val_BalAccMaj=0.5148
fold4 ep 025  tr=1.1824  val_AccPaper=0.5063  val_BalAccMaj=0.5159
fold4 ep 026  tr=1.1808  val_AccPaper=0.5067  val_BalAccMaj=0.5122
fold4 ep 027  tr=1.1753  val_AccPaper=0.4963  val_BalAccMaj=0.5033
fold4 ep 028  tr=1.1772  val_AccPaper=0.4978  val_BalAccMaj=0.5030
fold4 ep 029  tr=1.1722  val_AccPaper=0.4930  val_BalAccMaj=0.4985
fold4 ep 030  tr=1.1709  val_AccPaper=0.5059  val_BalAccMaj=0.5093
fold4 ep 031  tr=1.1648  val_AccPaper=0.4915  val_BalAccMaj=0.4993
fold4 ep 032  tr=1.1680  val_AccPaper=0.4885  val_BalAccMaj=0.4967
fold4 ep 033  tr=1.1668  val_AccPaper=0.4893  val_BalAccMaj=0.4974
fold4 ep 034  tr=1.1599  val_AccPaper=0.5026  val_BalAccMaj=0.5089
fold4 ep 035  tr=1.1573  val_AccPaper=0.4978  val_BalAccMaj=0.5022
fold4 ep 036  tr=1.1561  val_AccPaper=0.5059  val_BalAccMaj=0.5119
fold4 ep 037  tr=1.1555  val_AccPaper=0.4922  val_BalAccMaj=0.5000
fold4 ep 038  tr=1.1563  val_AccPaper=0.4993  val_BalAccMaj=0.5063
fold4 ep 039  tr=1.1518  val_AccPaper=0.5100  val_BalAccMaj=0.5148
fold4 ep 040  tr=1.1499  val_AccPaper=0.5052  val_BalAccMaj=0.5115
fold4 ep 041  tr=1.1465  val_AccPaper=0.4967  val_BalAccMaj=0.5026
fold4 ep 042  tr=1.1471  val_AccPaper=0.4930  val_BalAccMaj=0.5022
