[15:33:02] === S1 cues=1398 train=699 eval=699 ===
[15:40:01] fold2 ep 018 tr=0.1867 va=0.3555 val_AccPaper=0.8821
[15:40:02] fold2 ep 019 tr=0.1858 va=0.3319 val_AccPaper=0.8857
[15:40:04] fold2 ep 020 tr=0.1865 va=0.3391 val_AccPaper=0.8786
[15:40:05] fold2 ep 021 tr=0.1776 va=0.3562 val_AccPaper=0.8929
[15:40:07] fold2 ep 022 tr=0.1721 va=0.3309 val_AccPaper=0.8893
[15:40:08] fold2 ep 023 tr=0.1684 va=0.3407 val_AccPaper=0.8929
[15:40:09] fold2 ep 024 tr=0.1676 va=0.3659 val_AccPaper=0.8964
[15:40:09]   early stop @ ep 24
[15:40:12] [S1] three fold3 ft_tr=17798 ft_va=4408 eval=22239
[15:40:13] fold3 ep 001 tr=0.6654 va=0.4703 val_AccPaper=0.8429
[15:40:15] fold3 ep 002 tr=0.4626 va=0.3970 val_AccPaper=0.8643
[15:40:16] fold3 ep 003 tr=0.4021 va=0.3614 val_AccPaper=0.8893
[15:40:17] fold3 ep 004 tr=0.3526 va=0.3563 val_AccPaper=0.9000
[15:40:19] fold3 ep 005 tr=0.3220 va=0.3678 val_AccPaper=0.8607
[15:40:20] fold3 ep 006 tr=0.3044 va=0.3493 val_AccPaper=0.8821
[15:40:22] fold3 ep 007 tr=0.2782 va=0.3327 val_AccPaper=0.9000
[15:40:23] fold3 ep 008 tr=0.2611 va=0.3302 val_AccPaper=0.8964
[15:40:25] fold3 ep 009 tr=0.2521 va=0.3294 val_AccPaper=0.8857
[15:40:26] fold3 ep 010 tr=0.2480 va=0.3356 val_AccPaper=0.8964
[15:40:27] fold3 ep 011 tr=0.2293 va=0.3369 val_AccPaper=0.9000
[15:40:29] fold3 ep 012 tr=0.2298 va=0.3242 val_AccPaper=0.8964
[15:40:30] fold3 ep 013 tr=0.2252 va=0.3339 val_AccPaper=0.8893
[15:40:32] fold3 ep 014 tr=0.2149 va=0.3697 val_AccPaper=0.8821
[15:40:33] fold3 ep 015 tr=0.2156 va=0.3412 val_AccPaper=0.9071
[15:40:35] fold3 ep 016 tr=0.2024 va=0.3261 val_AccPaper=0.9000
[15:40:36] fold3 ep 017 tr=0.2028 va=0.3524 val_AccPaper=0.9000
[15:40:38] fold3 ep 018 tr=0.1941 va=0.3497 val_AccPaper=0.9036
[15:40:39] fold3 ep 019 tr=0.1894 va=0.3397 val_AccPaper=0.9071
[15:40:40] fold3 ep 020 tr=0.1843 va=0.3444 val_AccPaper=0.9000
[15:40:42] fold3 ep 021 tr=0.1875 va=0.3451 val_AccPaper=0.8964
